id,kind,text,verification_tier,verification_method,status,static_syntax,file,line_start,line_end,section,source_type
com-71fd03b28a,command,cat vast_host_install.log,local-safe,Verify command availability/help and static syntax locally; use placeholders and do not supply production credentials.,static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/common-errors-diagnostics.mdx,31,31,Logs And Support Bundles,authored
com-4c96f697d8,command,"tar -xzvf vastai_install_logs.tar.gz
cat vast_host_install.log",local-safe,Verify command availability/help and static syntax locally; use placeholders and do not supply production credentials.,static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/common-errors-diagnostics.mdx,37,38,Logs And Support Bundles,authored
com-5c5f0ecb04,command,sudo tail -n 100 /var/lib/vastai_kaalia/kaalia.log,privileged-host,"Verify on a disposable supported Ubuntu host; record OS version, command output, and expected postcondition.",static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/common-errors-diagnostics.mdx,44,44,Logs And Support Bundles,authored
com-5c5f0ecb04,command,sudo tail -n 100 /var/lib/vastai_kaalia/kaalia.log,privileged-host,"Verify on a disposable supported Ubuntu host; record OS version, command output, and expected postcondition.",static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/workload-policy.mdx,55,55,Renter Reports And Host Logs,authored
com-506c929678,command,vastai self-test machine <machine_id>,paid-live,"Use an approved test machine/account and budget; record CLI SHA, image digest, machine, instance, cost, and result.",static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/common-errors-diagnostics.mdx,50,50,Logs And Support Bundles,authored
com-506c929678,command,vastai self-test machine <machine_id>,paid-live,"Use an approved test machine/account and budget; record CLI SHA, image digest, machine, instance, cost, and result.",static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/how-to-self-test.mdx,79,79,Run The Test,authored
com-162fe82f61,command,"vastai self-test machine <machine_id> \
  --support-bundle-dir /path/to/output",paid-live,"Use an approved test machine/account and budget; record CLI SHA, image digest, machine, instance, cost, and result.",static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/common-errors-diagnostics.mdx,62,63,Logs And Support Bundles,authored
com-162fe82f61,command,"vastai self-test machine <machine_id> \
  --support-bundle-dir /path/to/output",paid-live,"Use an approved test machine/account and budget; record CLI SHA, image digest, machine, instance, cost, and result.",static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/how-to-self-test.mdx,85,86,Run The Test,authored
com-2384e2069c,command,vastai dump-logs <machine_id>,local-safe,Verify command availability/help and static syntax locally; use placeholders and do not supply production credentials.,static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/common-errors-diagnostics.mdx,79,79,Logs And Support Bundles,authored
com-022b4a74b6,command,vastai dump-logs <machine_id> --include-local-host-artifacts,local-safe,Verify command availability/help and static syntax locally; use placeholders and do not supply production credentials.,static-syntax-passed-not-executed,pass: Parsed with bash -n after replacing angle-bracket placeholders; no command was executed.,host/common-errors-diagnostics.mdx,85,85,Logs And Support Bundles,authored
