2026-09-05 pre-edit working tree
HEAD 3e1e30e2221b65d7ce1e901d9ae305f63af5b64b
TREE 961d5836c517408495926ac70c7283e4fc6db15e
Tracked changes: none
Staged changes: none
Untracked (git status --short):
?? .orchestra/
?? HOST-DOCS-PROCEDURE-VV-GOAL.md
?? HOST-DOCS-VV-COMPLETION-GOAL.md
?? HOST-DOCS-VV-CURRENT-STATUS.md
?? HOST-DOCS-VV-INDEPENDENT-REVIEW.html
?? HOST-DOCS-VV-LOCAL-REVIEW-HANDOFF.md
?? findings.md
?? graphify-out/
?? node_modules/
?? progress.md
?? review-feedback/
?? scripts/__pycache__/
?? scripts/build_atomic_semantic_candidate.py
?? scripts/build_atomic_semantic_candidate_repaired.py
?? scripts/build_procedure_claim_integration.py
?? scripts/build_procedure_context_candidate.py
?? scripts/build_procedure_context_topology_rebase.py
?? scripts/build_procedure_topology_candidate.py
?? scripts/build_rendered_section_binding_candidate.py
?? task_plan.md
?? verification/PROCEDURE-P1-READINESS.md
?? verification/VV-EVIDENCE-MIGRATION-PLAN.md
?? verification/VV-SKILL-BINDING.json
?? verification/evidence/2026-08-30-rendered-p1/
?? verification/evidence/2026-09-03-host-repository-rebase-01/browser-review-status.png
?? verification/evidence/2026-09-03-host-repository-rebase-01/pre-edit-working-tree-baseline.txt
